id,default_code,mfg_code,name,website_description,list_price,brand,weight,internal category,image,image_small,image_medium,Color - AG,Yield - AH,Capacity - AI,refillsQty - AJ,formula - AK,shelflife - AL,video - AM,Publish,Publish 1,Publish 2,Publish 3,Price 1,Price 2,Price 3,Price 4,Cart ID,Item Type,website_category,Meta Name,Meta Description,Meta Keywords
58612,151-737-01,"151-737-01,PGI-250 XL,",Replacement for Canon PGI-250 XL cartridge - black,"<p>This is a compatible Canon PGI-250BK XL inkjet cartridge. This cartridge is made to compare to the original in terms of both quality and page yield standards. This replacement cartridge for Canon PGI-250BK XL delivers first-rate quality and incredible value. The compatible with Canon PGI-250BK XL ink cartridge is manufactured under stringent quality control standards and is systematically inspected, disassembled, cleaned and refilled with 100% new ink which is made in the USA. Besides the exceptional printing quality, this Canon PGI-250BK XL compatible inkjet cartridge also gives you an economical alternative to buying expensive OEM (Genuine) Canon inkjet cartridges.</p>",10.99,Canon,0.2,Compatible Cartridges,http://erp.easygroup.us/web/image/product.template/58612/image,http://erp.easygroup.us/web/image/product.template/58612/image_small,http://erp.easygroup.us/web/image/product.template/58612/image_medium,Black,500,,,Pigment,3 years,,A,,,,5.99,,,,PGI-250 XL,Inkjet,"Cartridges / Canon Cartridges / PGI-250,Cartridges / Canon Cartridges / PGI-250 XL,Cartridges / Canon Cartridges / PGI-255 XXL,Printers / Canon Printers / Canon Series PIXMA iP / PIXMA iP8720,Printers / Canon Printers / Canon Series PIXMA iX / PIXMA iX6820,Printers / Canon Printers / Canon Series PIXMA MG / PIXMA MG5420,Printers / Canon Printers / Canon Series PIXMA MG / PIXMA MG5422,Printers / Canon Printers / Canon Series PIXMA MG / PIXMA MG5520,Printers / Canon Printers / Canon Series PIXMA MG / PIXMA MG5522,Printers / Canon Printers / Canon Series PIXMA MG / PIXMA MG5550,Printers / Canon Printers / Canon Series PIXMA MG / PIXMA MG5620,Printers / Canon Printers / Canon Series PIXMA MG / PIXMA MG6320,Printers / Canon Printers / Canon Series PIXMA MG / PIXMA MG6420,Printers / Canon Printers / Canon Series PIXMA MG / PIXMA MG6450,Printers / Canon Printers / Canon Series PIXMA MG / PIXMA MG6620,Printers / Canon Printers / Canon Series PIXMA MG / PIXMA MG7120,Printers / Canon Printers / Canon Series PIXMA MG / PIXMA MG7520,Printers / Canon Printers / Canon Series PIXMA MX / PIXMA MX722,Printers / Canon Printers / Canon Series PIXMA MX / PIXMA MX922,Printers / Canon Printers / Canon Series PIXMA iP / PIXMA iP7220,",Compatible inkjet cartridge for Canon PGI-250 XL - black - 123refills,Compatible inkjet cartridge for Canon PGI-250 XL - black on 123refills,"6497B001, PIXMA MG5420/ MG6320/ MX922/ IP7220, Canon PGI-250BK, Canon PGI-250 XL cartridge"
65020,192-197-01,"192-197-01,TK-2530,",OEM Kyocera Mita TK-2530 / 370AB011 cartridge - black,<p>Purchase your OEM (Genuine) Kyocera Mita 370AB011 toner cartridge from us and save on product price and fast and inexpensive shipping. This OEM Kyocera Mita 370AB011 cartridge is a genuine Kyocera Mita toner cartridge that delivers excellent performance and exceptional prints.</p>,167.29,Kyocera Mita,3,OEM Cartridges,http://erp.easygroup.us/web/image/product.template/65020/image,http://erp.easygroup.us/web/image/product.template/65020/image_small,http://erp.easygroup.us/web/image/product.template/65020/image_medium,Black,34000,,,,3 years,,A,,,,163.39,,,,TK-2530,Toner,"Cartridges / Kyocera Mita Cartridges / 370AB011,Cartridges / Kyocera Mita Cartridges / TK-2530,Printers / Copystar Printers / Copystar Series CS / CS-3035,Printers / Copystar Printers / Copystar Series CS / CS-4035,Printers / Kyocera Mita Printers / Kyocera Mita Series KM / KM-2530,Printers / Kyocera Mita Printers / Kyocera Mita Series KM / KM-3035,Printers / Kyocera Mita Printers / Kyocera Mita Series KM / KM-3530,Printers / Kyocera Mita Printers / Kyocera Mita Series KM / KM-4030,Printers / Kyocera Mita Printers / Kyocera Mita Series KM / KM-4035,Printers / Kyocera Mita Printers / Kyocera Mita Series KM / KM-5035,",Original Kyocera Mita TK-2530 (370AB011) toner cartridge - black - 123refills,Original Kyocera Mita TK-2530 (370AB011) toner cartridge - black on 123refills,"Kyocera 370AB011, KM 2530/ 3035/ 3530/ 4030/ 4035/ 5035, Kyocera Mita TK-2530 cartridge"
